domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
espanol.womenshealth.gov,540966,683863,472920,1.264151536,51.99373343,540966
us-cert.cisa.gov,537564,882898,411679,1.642405369,107.3702387,529058
fire.airnow.gov,522254,593702,275587,1.136806994,43.76869301,529058
ada.gov,520552,794438,374253,1.526145323,73.39221442,520552
fdic.gov,520552,881197,396368,1.69281263,83.07522976,515449
salud.nih.gov,518851,563081,481426,1.085246053,43.01313672,495035
ar.usembassy.gov,517150,860783,433794,1.664474524,153.2566103,495035
emailus.usps.com,517150,571587,331725,1.105263463,35.91448129,474621
auth.cdc.gov,515449,1252048,136092,2.429043417,89.82837487,496736
evisaforms.state.gov,510346,876093,392966,1.716664773,124.2132122,530759
exclusions.oig.hhs.gov,510346,2759268,222851,5.406661363,338.6563351,532460
fisheries.noaa.gov,510346,869289,357242,1.703332641,152.0265173,503541
co.usembassy.gov,501840,1029197,372552,2.050846883,183.0439742,495035
nccih.nih.gov,496736,694070,459311,1.397261322,84.39045892,505242
nrc.gov,495035,1214622,282391,2.453608331,126.4502066,495035
osti.gov,491633,729794,423587,1.484428425,62.8615695,491633
science.nasa.gov,491633,993473,435495,2.020761422,169.5051329,493334
auth.nih.gov,489932,758714,136092,1.548610828,63.38537593,520552
do.usembassy.gov,488231,826760,352138,1.693378749,143.2333117,469518
doi.gov,486529,654943,406575,1.346154083,72.91963686,484828
tidesandcurrents.noaa.gov,476322,15946596,200736,33.47860481,1397.169226,476322
grants.gov,474621,626024,335127,1.318997684,75.70255846,474621
obamawhitehouse.archives.gov,472920,576690,413380,1.219424004,48.97483718,469518
combatcovid.hhs.gov,471219,671955,421886,1.42599301,48.5054168,469518
eclkc.ohs.acf.hhs.gov,464414,1696048,260276,3.652017381,235.5972753,466116
phmsa.dot.gov,462713,1066622,90161,2.305148116,495.6988003,459311
identitytheft.gov,461012,2650394,263679,5.749078115,458.6089581,459311
ec.usembassy.gov,457610,770622,338529,1.684014772,107.3754179,438897
ace.cbp.dhs.gov,452506,597104,88460,1.319549354,101.9624845,452506
founders.archives.gov,452506,755311,386161,1.669173447,96.56398368,444001
e-verify.gov,450805,967955,265380,2.147170062,177.8830936,450805
nidcd.nih.gov,438897,527357,403173,1.201550706,69.60854825,437196
jp.usembassy.gov,432093,666851,328322,1.543304335,94.76761253,426989
atsdr.cdc.gov,426989,578392,340230,1.354582905,75.70120776,420184
share.america.gov,426989,520552,398069,1.219122741,42.57371267,425288
pe.usembassy.gov,421886,802944,318115,1.903225042,166.4837184,420184
acquisition.gov,416782,1338806,243265,3.212245251,224.7715136,415081
deadiversion.usdoj.gov,416782,722989,280690,1.734693437,126.791884,415081
csrc.nist.gov,411679,826760,292598,2.00826372,107.5949636,409978
emergency.cdc.gov,409978,568185,355541,1.385891438,78.89203079,391265
portal.uspto.gov,408276,55471154,287495,135.8668009,2326.660612,510346
scijinks.gov,408276,867587,331725,2.125001225,147.9543128,408276
es.usembassy.gov,404874,719587,313012,1.777310966,131.0840657,403173
fr.usembassy.gov,404874,683863,307908,1.689076108,127.9412064,389564
es.usps.com,401472,551173,216046,1.3728803,50.254212,387863
data.hrsa.gov,394667,857380,571587,2.172413706,31.7844968,648139
bea.gov,392966,804645,248368,2.047619896,107.5368073,384460
therealcost.betobaccofree.hhs.gov,392966,442299,360644,1.125540123,13.8917769,392966
niaid.nih.gov,389564,592001,353840,1.519650173,121.2444579,379357
fdc.nal.usda.gov,382759,2233612,273885,5.8355571,309.9867671,391265
jfklibrary.org,379357,510346,360644,1.345292165,57.24660939,379357
itl.nist.gov,377656,714484,292598,1.891891033,83.49992586,377656
wonder.cdc.gov,377656,2531314,319817,6.702697693,293.8330756,381058
ams.usda.gov,374253,1201013,253472,3.209093848,168.109255,382759
vacareers.va.gov,369150,595403,319817,1.612902614,82.11979683,374253
ers.usda.gov,367449,634530,248368,1.72685189,153.2128622,364046
fsa.usda.gov,365748,1236737,197334,3.381391012,199.2276923,370851
ourdocuments.gov,365748,479725,318115,1.311627131,55.72087065,365748
aspe.hhs.gov,362345,457610,323219,1.262912418,44.61506023,353840
blogs.nasa.gov,362345,461012,287495,1.27230126,34.07045219,345334
nasasearch.nasa.gov,362345,1554853,229655,4.291084464,157.9813548,296000
gt.usembassy.gov,360644,578392,297702,1.603775468,102.0802315,365748
niehs.nih.gov,360644,314713,321518,0.872641719,63.95757312,238161
climatekids.nasa.gov,358943,848875,309610,2.364929808,147.161137,369150
hab.hrsa.gov,358943,408276,357242,1.137439649,0.535544641,182023
nei.nih.gov,358943,503541,314713,1.402843906,71.98104434,357242
saferfederalworkforce.gov,358943,806346,229655,2.246445815,180.2417069,355541
de.usembassy.gov,350437,554575,265380,1.582524106,139.592329,336828
fastlane.nsf.gov,347035,2871544,49333,8.274508335,360.3381734,355541
chinese.cdc.gov,340230,847174,265380,2.490003821,75.4850748,341931
careers.state.gov,336828,911817,221150,2.707070077,155.5707216,328322
healthit.gov,336828,469518,292598,1.393939934,69.52525918,336828
seer.cancer.gov,336828,1221427,129288,3.626263256,215.7929477,338529
pubs.usgs.gov,335127,600507,297702,1.7918789,141.6243156,345334
usaspending.gov,333426,772323,103770,2.316325062,589.1882937,331725
beta.nsf.gov,331725,554575,231357,1.671791393,82.1178446,318115
history.navy.mil,321518,552874,270483,1.719574021,85.8570531,323219
ncdc.noaa.gov,321518,1109151,239862,3.449732208,201.4071965,323219
tsdr.uspto.gov,318115,865886,200736,2.721927605,175.000198,455909
portal.fmcsa.dot.gov,316414,905013,117379,2.860217942,241.7743526,311311
foodsafety.gov,313012,478024,270483,1.527174677,64.93476288,313012
search.usembassy.gov,313012,416782,222851,1.331520836,39.66303209,285793
wwwn.cdc.gov,311311,1473197,161609,4.73223561,252.1855925,306207
cdx.epa.gov,306207,1218025,47632,3.977783003,557.8005467,299403
huduser.gov,306207,660047,239862,2.155558168,93.08897902,306207
climate.gov,301104,469518,277288,1.559321696,65.58188865,299403
il.usembassy.gov,301104,694070,173517,2.305083958,142.8078372,296000
ptsd.va.gov,301104,564782,241564,1.875704076,129.316316,299403
privacyshield.gov,297702,481426,214345,1.617140631,65.66275672,297702
oceanexplorer.noaa.gov,296000,455909,258575,1.540233108,95.50587162,299403
uspreventiveservicestaskforce.org,296000,525656,231357,1.775864865,105.9484155,296000
fec.gov,294299,939036,234759,3.19075498,176.589737,292598
cftc.gov,292598,600507,180322,2.052327767,128.5116645,289196
f1.weather.gov,292598,362345,137793,1.238371417,68.22676505,289196
fiscal.treasury.gov,292598,585196,227954,2,102.8604946,294299
dla.mil,290897,520552,216046,1.789471875,124.4619608,290897
fhwa.dot.gov,290897,547771,222851,1.883041076,89.61401458,292598
mobile.va.gov,290897,552874,166713,1.900583368,169.8011324,289196
nfc.usda.gov,289196,556277,141196,1.923529371,169.2469329,301104
securityawareness.usalearning.gov,285793,867587,178621,3.03571816,376.4470613,285793
vacunas.gov,285793,673656,246667,2.357146606,81.0537067,285793
militarypay.defense.gov,284092,491633,229655,1.730541515,111.7546217,282391
caweb.sba.gov,282391,3751039,108874,13.28313934,1666.651646,299403
healthypeople.gov,280690,770622,214345,2.745455841,195.2121379,278989
ic3.gov,278989,779127,231357,2.792679998,62.01826595,282391
public.cyber.mil,277288,498437,210943,1.797542627,138.5029284,268782
es-tools.usps.com,275587,437196,117379,1.586417356,58.90114193,261977
reportfraud.ftc.gov,273885,1044507,256874,3.813669971,341.5595268,267081
data.cms.gov,272184,1003679,168414,3.687501837,220.2939666,256874
newsinhealth.nih.gov,272184,311311,250069,1.143752021,55.82505584,270483
niaaa.nih.gov,272184,386161,255173,1.418749816,88.81883579,284092
espanol.epa.gov,268782,316414,231357,1.177214248,82.91771026,260276
mcrc.marines.mil,267081,319817,23816,1.197453207,82.61140628,261977
ncei.noaa.gov,265380,828461,178621,3.121791393,126.089581,258575
nro.gov,265380,506943,45931,1.910253222,435.9994423,265380
research.gov,265380,544369,66345,2.051281182,192.1600121,231357
step.state.gov,265380,1216323,267081,4.583325797,297.9611576,238161
ru.usembassy.gov,263679,518851,226253,1.967737287,138.122323,251770
cem.va.gov,261977,433794,199035,1.655847651,113.0131424,256874
cr.usembassy.gov,258575,364046,170115,1.407893261,85.51317413,255173
search.uspto.gov,251770,432093,137793,1.716221154,44.0068356,241564
mentalhealth.gov,250069,321518,200736,1.285717142,45.85719541,250069
cnrfc.noaa.gov,246667,569886,165012,2.310345527,72.31034147,256874
usbr.gov,246667,426989,151402,1.731034147,76.60689513,250069
kr.usembassy.gov,244966,382759,197334,1.562498469,66.24995714,246667
magazine.medlineplus.gov,244966,296000,241564,1.208330952,61.02079472,253472
peacecorps.gov,244966,792737,166713,3.236110317,135.7776875,244966
oig.hhs.gov,239862,712783,188828,2.971637858,276.6458339,219449
cl.usembassy.gov,238161,394667,178621,1.657143697,166.3573045,229655
edsitement.neh.gov,238161,299403,197334,1.257145376,84.98579952,236460
shadesofgreen.org,238161,449104,132690,1.885715965,84.95722641,238161
nal.usda.gov,229655,421886,180322,1.83704252,112.763197,227954
owcpmed.dol.gov,229655,437196,83356,1.903707736,290.511711,216046
fhfa.gov,227954,746806,168414,3.276125885,111.6718022,227954
nij.ojp.gov,227954,333426,185426,1.462689841,121.6942015,226253
store.usgs.gov,227954,898208,178621,3.940303745,208.0525325,226253
commerce.gov,224552,415081,182023,1.848484983,61.73485429,221150
sv.usembassy.gov,221150,428690,139494,1.93845806,114.1767759,219449
exoplanets.nasa.gov,216046,398069,185426,1.842519649,57.82684243,212644
coronavirus.gov,210943,239862,178621,1.137093907,37.8064169,210943
docsteach.org,210943,842070,112276,3.99193147,251.2900926,210943
farmers.gov,209242,365748,170115,1.747966469,108.8209585,209242
mrdata.usgs.gov,209242,299403,200736,1.430893415,83.60149014,210943
navsea.navy.mil,209242,433794,129288,2.073168867,113.2030663,205839
archives.drugabuse.gov,207541,284092,193931,1.368847601,78.31128789,205839
eg.usembassy.gov,207541,330023,168414,1.590158089,121.1308561,214345
labornet.dol.gov,207541,313012,148000,1.508193562,110.2620302,183724
sbir.gov,207541,787633,148000,3.795071817,184.1962793,207541
retail-pi.usps.com,205839,479725,108874,2.330583611,83.33898338,176920
ssd.noaa.gov,205839,561380,44230,2.727277144,78.81005057,202437
pk.usembassy.gov,204138,563081,124184,2.758335048,157.2751521,209242
search.archives.gov,204138,775725,132690,3.800002939,82.8834122,178621
dcms.uscg.mil,202437,445702,132690,2.201682499,117.4538103,204138
search.nih.gov,202437,367449,122483,1.815127669,84.70590357,190529
search.osha.gov,200736,404874,117379,2.016947633,66.22030428,200736
foiaonline.gov,199035,251770,28920,1.2649534,53.40164293,195632
apps.dtic.mil,195632,267081,166713,1.365221436,98.69587286,188828
imagine.gsfc.nasa.gov,195632,284092,175219,1.452175513,93.73934223,204138
ncua.gov,195632,493334,125885,2.521744909,118.582875,188828
water.usgs.gov,195632,489932,148000,2.504355116,121.5741852,204138
onlineclaims.usps.com,193931,525656,103770,2.710531065,200.4125797,199035
bia.gov,192230,428690,146299,2.230088956,159.0266608,192230
myeverify.uscis.gov,192230,1049611,103770,5.460183114,278.442678,180322
hr.nih.gov,190529,471219,115678,2.473214051,199.5803421,180322
ttbonline.gov,190529,1510623,90161,7.928572553,273.6517643,190529
choosework.ssa.gov,188828,290897,78253,1.540539539,150.567437,190529
idcfars.bls.gov,188828,1364324,137793,7.225220836,260.252023,202437
pubs.er.usgs.gov,188828,284092,182023,1.504501451,126.306194,193931
teas.uspto.gov,188828,1573565,69747,8.333324507,501.8193806,136092
americorps.gov,187127,369150,148000,1.972724406,103.3816446,185426
niams.nih.gov,187127,267081,175219,1.427271318,83.16349324,183724
home.nps.gov,185426,316414,146299,1.706416576,85.81629869,176920
tools.cdc.gov,185426,260276,165012,1.403665074,74.3759613,176920
web.sba.gov,183724,588598,180322,3.203707736,110.6391163,183724
kids.niehs.nih.gov,182023,193931,151402,1.065420304,58.33652341,136092
rrb.gov,182023,459311,81655,2.523367926,139.0749411,139494
secretservice.gov,182023,394667,129288,2.168225993,136.7291441,182023
sites.ed.gov,182023,318115,158207,1.747663757,66.09354312,178621
th.usembassy.gov,182023,297702,168414,1.635518588,84.47674195,188828
npdb.hrsa.gov,180322,268782,129288,1.490566875,68.17927374,146299
covid19.nih.gov,178621,234759,178621,1.314285554,82.20948825,159908
cuidadodesalud.gov,178621,881197,119081,4.933333707,200.1522945,178621
ferc.gov,178621,387863,73150,2.171430011,162.609458,176920
locator.ice.gov,178621,267081,103770,1.495238522,122.4285218,185426
bb.usembassy.gov,176920,224552,149701,1.26922903,57.47108298,173517
first.uscis.gov,176920,284092,73150,1.605765318,109.0287079,175219
ie.usembassy.gov,176920,267081,139494,1.509614515,102.5383281,175219
ies.ed.gov,176920,437196,139494,2.471150803,191.1920642,178621
ned.nih.gov,176920,481426,110575,2.721150803,79.38451277,175219
uscg.mil,176920,314713,134391,1.778843545,124.6344563,161609
2001-2009.state.gov,175219,268782,176920,1.53397748,70.85421672,180322
psnet.ahrq.gov,175219,217747,144598,1.242713404,45.38825127,176920
catalog.archives.gov,173517,375955,170115,2.166675311,120.0003227,180322
jbsa.mil,173517,255173,136092,1.470593659,58.34329777,171816
transit.dot.gov,173517,534162,71448,3.078441882,174.863218,175219
usfk.mil,173517,277288,59540,1.598045148,207.7358587,173517
data.cdc.gov,171816,503541,166713,2.93069912,131.6735112,171816
itis.gov,171816,648139,137793,3.772285468,194.9013538,171816
moon.nasa.gov,171816,345334,144598,2.009905946,85.29719002,171816
www3.epa.gov,171816,469518,173517,2.732679145,166.9706081,163311
covid19travelinfo.cdc.gov,170115,229655,176920,1.34999853,86.50008524,153104
directorsblog.nih.gov,170115,200736,142897,1.180001764,46.16004468,171816
eyes.jpl.nasa.gov,170115,656645,307908,3.860006466,221.8002175,204138
ae.usembassy.gov,168414,244966,88460,1.454546534,85.92929923,142897
ch.usembassy.gov,168414,263679,137793,1.565659624,115.7474854,163311
eda.gov,168414,341931,95264,2.030300331,128.7676856,163311
search.uscis.gov,168414,248368,95264,1.474746755,54.38384576,165012
vetrecs.archives.gov,168414,2340785,136092,13.89899296,727.3535989,243265
bcrisktool.cancer.gov,166713,489932,40828,2.938775021,180.183525,163311
jobcorps.gov,166713,416782,137793,2.499997001,136.0407047,159908
neh.gov,166713,217747,142897,1.306118899,45.09179848,163311
vn.usembassy.gov,166713,255173,146299,1.53061249,116.7141915,166713
bphc.hrsa.gov,165012,227954,129288,1.381438926,13.15461906,93563
dcma.mil,165012,253472,61241,1.536082224,160.4842557,161609
nepis.epa.gov,163311,675357,192230,4.135404229,123.0830011,188828
invasivespeciesinfo.gov,161609,238161,117379,1.47368649,110.2844891,159908
my.americorps.gov,161609,1420462,102069,8.78949811,502.9591669,156506
netc.navy.mil,159908,365748,129288,2.287240163,190.3832829,163311
secsearch.sec.gov,159908,369150,137793,2.308514896,168.4577194,85058
childcare.gov,158207,314713,132690,1.989248263,101.8602843,158207
dco.uscg.mil,156506,335127,110575,2.141304487,136.4673495,163311
effectivehealthcare.ahrq.gov,156506,263679,136092,1.684785248,94.78258342,154805
gps.gov,156506,261977,122483,1.673910265,72.39128212,156506
nidcr.nih.gov,156506,188828,151402,1.206522434,6.913038478,166713
nicsezcheckfbi.gov,154805,146299,25517,0.945053454,29.79116954,141196
access-board.gov,153104,365748,112276,2.388885986,197.2217708,153104
gispub.epa.gov,153104,171816,108874,1.122217578,48.11100298,151402
ntsb.gov,153104,586897,98667,3.833322447,444.4212039,125885
usability.gov,153104,273885,136092,1.788882067,128.2330377,153104
bones.nih.gov,151402,178621,151402,1.179779659,94.71941586,146299
globaldossier.uspto.gov,151402,216046,61241,1.426969261,64.42718062,161609
hn.usembassy.gov,149701,301104,113977,2.01136933,126.716201,144598
ngdc.noaa.gov,149701,522254,88460,3.48864737,132.5912185,134391
pl.usembassy.gov,149701,358943,112276,2.397732814,154.8639956,149701
tsunami.gov,149701,180322,112276,1.204547732,38.13645199,149701
2009-2017.state.gov,148000,190529,141196,1.287358108,28.20693243,153104
afpc.af.mil,148000,182023,115678,1.229885135,84.90815541,146299
ars.usda.gov,148000,343633,144598,2.321844595,177.3220743,153104
collegescorecard.ed.gov,148000,620920,107173,4.195405405,208.9542973,151402
nifa.usda.gov,148000,360644,105471,2.436783784,107.0691081,146299
cameochemicals.noaa.gov,146299,216046,83356,1.476742835,27.97675309,146299
missingmail.usps.com,146299,183724,115678,1.255811728,89.72095503,144598
nass.usda.gov,146299,569886,117379,3.895351301,249.4884449,144598
choose.va.gov,144598,294299,130989,2.035290945,61.51760052,148000
apprenticeship.gov,142897,275587,129288,1.928570929,111.1783662,142897
cesdata.bls.gov,142897,651541,85058,4.559514895,238.5114733,142897
